# ICD-10-CM FY2026 reference data (public domain, NCHS/CMS).
# Bundled subset: F01-F99 (mental/behavioral) + Z55-Z65 (psychosocial circumstances).
# Generated data — do not hand-edit. Columns: code, billable (1/0), category, description.
code	billable	category	description
F01	0	Vascular dementia	Vascular dementia
F01.5	0	Vascular dementia	Vascular dementia, unspecified severity
F01.50	1	Vascular dementia	Vascular dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F01.51	0	Vascular dementia	Vascular dementia, unspecified severity, with behavioral disturbance
F01.511	1	Vascular dementia	Vascular dementia, unspecified severity, with agitation
F01.518	1	Vascular dementia	Vascular dementia, unspecified severity, with other behavioral disturbance
F01.52	1	Vascular dementia	Vascular dementia, unspecified severity, with psychotic disturbance
F01.53	1	Vascular dementia	Vascular dementia, unspecified severity, with mood disturbance
F01.54	1	Vascular dementia	Vascular dementia, unspecified severity, with anxiety
F01.A	0	Vascular dementia	Vascular dementia, mild
F01.A0	1	Vascular dementia	Vascular dementia, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F01.A1	0	Vascular dementia	Vascular dementia, mild, with behavioral disturbance
F01.A11	1	Vascular dementia	Vascular dementia, mild, with agitation
F01.A18	1	Vascular dementia	Vascular dementia, mild, with other behavioral disturbance
F01.A2	1	Vascular dementia	Vascular dementia, mild, with psychotic disturbance
F01.A3	1	Vascular dementia	Vascular dementia, mild, with mood disturbance
F01.A4	1	Vascular dementia	Vascular dementia, mild, with anxiety
F01.B	0	Vascular dementia	Vascular dementia, moderate
F01.B0	1	Vascular dementia	Vascular dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F01.B1	0	Vascular dementia	Vascular dementia, moderate, with behavioral disturbance
F01.B11	1	Vascular dementia	Vascular dementia, moderate, with agitation
F01.B18	1	Vascular dementia	Vascular dementia, moderate, with other behavioral disturbance
F01.B2	1	Vascular dementia	Vascular dementia, moderate, with psychotic disturbance
F01.B3	1	Vascular dementia	Vascular dementia, moderate, with mood disturbance
F01.B4	1	Vascular dementia	Vascular dementia, moderate, with anxiety
F01.C	0	Vascular dementia	Vascular dementia, severe
F01.C0	1	Vascular dementia	Vascular dementia, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F01.C1	0	Vascular dementia	Vascular dementia, severe, with behavioral disturbance
F01.C11	1	Vascular dementia	Vascular dementia, severe, with agitation
F01.C18	1	Vascular dementia	Vascular dementia, severe, with other behavioral disturbance
F01.C2	1	Vascular dementia	Vascular dementia, severe, with psychotic disturbance
F01.C3	1	Vascular dementia	Vascular dementia, severe, with mood disturbance
F01.C4	1	Vascular dementia	Vascular dementia, severe, with anxiety
F02	0	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere
F02.8	0	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, unspecified severity
F02.80	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F02.81	0	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, unspecified severity, with behavioral disturbance
F02.811	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, unspecified severity, with agitation
F02.818	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, unspecified severity, with other behavioral disturbance
F02.82	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, unspecified severity, with psychotic disturbance
F02.83	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, unspecified severity, with mood disturbance
F02.84	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, unspecified severity, with anxiety
F02.A	0	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, mild
F02.A0	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F02.A1	0	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, mild, with behavioral disturbance
F02.A11	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, mild, with agitation
F02.A18	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, mild, with other behavioral disturbance
F02.A2	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, mild, with psychotic disturbance
F02.A3	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, mild, with mood disturbance
F02.A4	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, mild, with anxiety
F02.B	0	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, moderate
F02.B0	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F02.B1	0	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, moderate, with behavioral disturbance
F02.B11	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, moderate, with agitation
F02.B18	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, moderate, with other behavioral disturbance
F02.B2	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, moderate, with psychotic disturbance
F02.B3	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, moderate, with mood disturbance
F02.B4	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, moderate, with anxiety
F02.C	0	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, severe
F02.C0	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F02.C1	0	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, severe, with behavioral disturbance
F02.C11	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, severe, with agitation
F02.C18	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, severe, with other behavioral disturbance
F02.C2	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, severe, with psychotic disturbance
F02.C3	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, severe, with mood disturbance
F02.C4	1	Dementia in other diseases classified elsewhere	Dementia in other diseases classified elsewhere, severe, with anxiety
F03	0	Unspecified dementia	Unspecified dementia
F03.9	0	Unspecified dementia	Unspecified dementia, unspecified severity
F03.90	1	Unspecified dementia	Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F03.91	0	Unspecified dementia	Unspecified dementia, unspecified severity, with behavioral disturbance
F03.911	1	Unspecified dementia	Unspecified dementia, unspecified severity, with agitation
F03.918	1	Unspecified dementia	Unspecified dementia, unspecified severity, with other behavioral disturbance
F03.92	1	Unspecified dementia	Unspecified dementia, unspecified severity, with psychotic disturbance
F03.93	1	Unspecified dementia	Unspecified dementia, unspecified severity, with mood disturbance
F03.94	1	Unspecified dementia	Unspecified dementia, unspecified severity, with anxiety
F03.A	0	Unspecified dementia	Unspecified dementia, mild
F03.A0	1	Unspecified dementia	Unspecified dementia, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F03.A1	0	Unspecified dementia	Unspecified dementia, mild, with behavioral disturbance
F03.A11	1	Unspecified dementia	Unspecified dementia, mild, with agitation
F03.A18	1	Unspecified dementia	Unspecified dementia, mild, with other behavioral disturbance
F03.A2	1	Unspecified dementia	Unspecified dementia, mild, with psychotic disturbance
F03.A3	1	Unspecified dementia	Unspecified dementia, mild, with mood disturbance
F03.A4	1	Unspecified dementia	Unspecified dementia, mild, with anxiety
F03.B	0	Unspecified dementia	Unspecified dementia, moderate
F03.B0	1	Unspecified dementia	Unspecified dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F03.B1	0	Unspecified dementia	Unspecified dementia, moderate, with behavioral disturbance
F03.B11	1	Unspecified dementia	Unspecified dementia, moderate, with agitation
F03.B18	1	Unspecified dementia	Unspecified dementia, moderate, with other behavioral disturbance
F03.B2	1	Unspecified dementia	Unspecified dementia, moderate, with psychotic disturbance
F03.B3	1	Unspecified dementia	Unspecified dementia, moderate, with mood disturbance
F03.B4	1	Unspecified dementia	Unspecified dementia, moderate, with anxiety
F03.C	0	Unspecified dementia	Unspecified dementia, severe
F03.C0	1	Unspecified dementia	Unspecified dementia, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
F03.C1	0	Unspecified dementia	Unspecified dementia, severe, with behavioral disturbance
F03.C11	1	Unspecified dementia	Unspecified dementia, severe, with agitation
